TYPE;STATE;COUNTY;TRACT;BLOCK;SHEETS
Census Block;25;017;3573.00;3002;1
Census Block;25;017;3573.00;3003;1
Census Block;25;017;3573.00;3004;1
Census Block;25;017;3573.00;3005;1
Census Block;25;017;3573.00;3006;1
Census Block;25;017;3573.00;3007;1
Census Block;25;017;3573.00;3008;1
Census Block;25;017;3573.00;3009;1
Census Block;25;017;3573.00;3010;1
Census Block;25;017;3573.00;3011;1
Census Block;25;017;3573.00;3012;1
Census Block;25;017;3573.00;3013;1
Census Block;25;017;3573.00;3014;1
Census Block;25;017;3574.00;1000;1
Census Block;25;017;3574.00;1001;1
Census Block;25;017;3574.00;1002;1
Census Block;25;017;3574.00;1003;1
Census Block;25;017;3574.00;1004;1
Census Block;25;017;3574.00;1005;1
Census Block;25;017;3574.00;1006;1
Census Block;25;017;3574.00;1007;1
Census Block;25;017;3574.00;1008;1
Census Block;25;017;3574.00;1009;1
Census Block;25;017;3574.00;1010;1
Census Block;25;017;3574.00;1011;1
Census Block;25;017;3574.00;1012;1
Census Block;25;017;3574.00;1013;1
Census Block;25;017;3574.00;1014;1
Census Block;25;017;3574.00;1015;1
Census Block;25;017;3574.00;1016;1
Census Block;25;017;3574.00;1017;1
Census Block;25;017;3574.00;1018;1
Census Block;25;017;3574.00;2000;1
Census Block;25;017;3574.00;2001;1
Census Block;25;017;3574.00;2002;1
Census Block;25;017;3574.00;2003;1
Census Block;25;017;3574.00;2004;1
Census Block;25;017;3574.00;2005;1
Census Block;25;017;3574.00;2006;1
Census Block;25;017;3574.00;2007;1
Census Block;25;017;3574.00;2008;1
Census Block;25;017;3574.00;2009;1
Census Block;25;017;3574.00;2010;1
Census Block;25;017;3574.00;2011;1
Census Block;25;017;3574.00;2012;1
Census Block;25;017;3574.00;2013;1
Census Block;25;017;3574.00;2014;1
Census Block;25;017;3574.00;3000;1
Census Block;25;017;3574.00;3001;1
Census Block;25;017;3574.00;3002;1
Census Block;25;017;3574.00;3003;1
Census Block;25;017;3574.00;3004;1
Census Block;25;017;3574.00;3005;1
Census Block;25;017;3574.00;3006;1
Census Block;25;017;3574.00;3007;1
Census Block;25;017;3574.00;3008;1
Census Block;25;017;3574.00;3009;1
Census Block;25;017;3574.00;3010;1
Census Block;25;017;3574.00;3011;1
Census Block;25;017;3574.00;3012;1
Census Block;25;017;3574.00;3013;1
Census Block;25;017;3575.00;1000;1
Census Block;25;017;3575.00;1001;1
Census Block;25;017;3575.00;1002;1
Census Block;25;017;3575.00;1003;1
Census Block;25;017;3575.00;1004;1
Census Block;25;017;3575.00;1005;1
Census Block;25;017;3575.00;1006;1
Census Block;25;017;3575.00;1007;1
Census Block;25;017;3575.00;1008;1
Census Block;25;017;3575.00;2000;1
Census Block;25;017;3575.00;2001;1
Census Block;25;017;3575.00;2002;1
Census Block;25;017;3575.00;2003;1
Census Block;25;017;3575.00;2004;1
Census Block;25;017;3575.00;2005;1
Census Block;25;017;3575.00;2006;1
Census Block;25;017;3575.00;3000;1
Census Block;25;017;3575.00;3001;1
Census Block;25;017;3575.00;3002;1
Census Block;25;017;3575.00;3003;1
Census Block;25;017;3575.00;3004;1
Census Block;25;017;3575.00;3005;1
Census Block;25;017;3575.00;3006;1
Census Block;25;017;3575.00;3007;1
Census Block;25;017;3575.00;3008;1
Census Block;25;017;3576.00;1000;1
Census Block;25;017;3576.00;1001;1
Census Block;25;017;3576.00;1002;1
Census Block;25;017;3576.00;1003;1
Census Block;25;017;3576.00;1004;1
Census Block;25;017;3576.00;1005;1
Census Block;25;017;3576.00;1006;1
Census Block;25;017;3576.00;1007;1
Census Block;25;017;3576.00;1008;1
Census Block;25;017;3576.00;2000;1
Census Block;25;017;3576.00;2001;1
Census Block;25;017;3576.00;2002;1
Census Block;25;017;3576.00;2003;1
Census Block;25;017;3576.00;2004;1
Census Block;25;017;3576.00;2005;1
Census Block;25;017;3576.00;2006;1
Census Block;25;017;3576.00;2007;1
Census Block;25;017;3576.00;2008;1
Census Block;25;017;3576.00;2009;1
Census Block;25;017;3576.00;2010;1
Census Block;25;017;3576.00;2011;1
Census Block;25;017;3576.00;2012;1
Census Block;25;017;3576.00;2013;1
Census Block;25;017;3576.00;2014;1
Census Block;25;017;3576.00;2015;1
Census Block;25;017;3576.00;2016;1
Census Block;25;017;3576.00;2017;1
Census Block;25;017;3576.00;2018;1
Census Block;25;017;3576.00;2019;1
Census Block;25;017;3576.00;2020;1
Census Block;25;017;3576.00;2021;1
Census Block;25;017;3577.00;1000;1
Census Block;25;017;3577.00;1001;1
Census Block;25;017;3577.00;1002;1
Census Block;25;017;3577.00;1003;1
Census Block;25;017;3577.00;1004;1
Census Block;25;017;3577.00;1005;1
Census Block;25;017;3577.00;1006;1
Census Block;25;017;3577.00;1007;1
Census Block;25;017;3577.00;1008;1
Census Block;25;017;3577.00;1009;1
Census Block;25;017;3577.00;1010;1
Census Block;25;017;3577.00;1011;1
Census Block;25;017;3577.00;1012;1
Census Block;25;017;3577.00;1013;1
Census Block;25;017;3577.00;1014;1
Census Block;25;017;3577.00;1015;1
Census Block;25;017;3577.00;1016;1
Census Block;25;017;3577.00;1017;1
Census Block;25;017;3577.00;1018;1
Census Block;25;017;3577.00;1019;1
Census Block;25;017;3577.00;1020;1
Census Block;25;017;3577.00;1021;1
Census Block;25;017;3577.00;1022;1
Census Block;25;017;3577.00;1023;1
Census Block;25;017;3577.00;1024;1
Census Block;25;017;3577.00;1025;1
Census Block;25;017;3577.00;1026;1
Census Block;25;017;3577.00;1027;1
Census Block;25;017;3577.00;1028;1
Census Block;25;017;3577.00;1029;1
Census Block;25;017;3577.00;1030;1
Census Block;25;017;3577.00;2000;1
Census Block;25;017;3577.00;2001;1
Census Block;25;017;3577.00;2002;1
Census Block;25;017;3577.00;2003;1
Census Block;25;017;3577.00;2004;1
Census Block;25;017;3577.00;2005;1
Census Block;25;017;3577.00;2006;1
Census Block;25;017;3577.00;2007;1
Census Block;25;017;3577.00;2008;1
Census Block;25;017;3577.00;2009;1
Census Block;25;017;3577.00;3000;1
Census Block;25;017;3577.00;3001;1
Census Block;25;017;3577.00;3002;1
Census Block;25;017;3577.00;3003;1
Census Block;25;017;3577.00;3004;1
Census Block;25;017;3577.00;3005;1
Census Block;25;017;3577.00;3006;1
Census Block;25;017;3577.00;3007;1
Census Block;25;017;3577.00;3008;1
Census Block;25;017;3577.00;3009;1
Census Block;25;017;3577.00;3010;1
Census Block;25;017;3577.00;3011;1
Census Block;25;017;3577.00;3012;1
Census Block;25;017;3577.00;3013;1
Census Block;25;017;3577.00;3014;1
Census Block;25;017;3577.00;4000;1
Census Block;25;017;3577.00;4001;1
Census Block;25;017;3577.00;4002;1
Census Block;25;017;3577.00;4003;1
Census Block;25;017;3577.00;4004;1
Census Block;25;017;3577.00;4005;1
Census Block;25;017;3577.00;4006;1
Census Block;25;017;3577.00;4007;1
Census Block;25;017;3577.00;4008;1
Census Block;25;017;3577.00;4009;1
Census Block;25;017;3577.00;4010;1
Census Block;25;017;3578.00;1000;1
Census Block;25;017;3578.00;1001;1
Census Block;25;017;3578.00;1002;1
Census Block;25;017;3578.00;1003;1
Census Block;25;017;3578.00;1004;1
Census Block;25;017;3578.00;1005;1
Census Block;25;017;3578.00;1006;1
Census Block;25;017;3578.00;1007;1
Census Block;25;017;3578.00;1008;1
Census Block;25;017;3578.00;1009;1
Census Block;25;017;3578.00;1010;1
Census Block;25;017;3578.00;1011;1
Census Block;25;017;3578.00;1012;1
Census Block;25;017;3578.00;1013;1
Census Block;25;017;3578.00;1014;1
Census Block;25;017;3578.00;1015;1
Census Block;25;017;3578.00;1016;1
Census Block;25;017;3578.00;1017;1
Census Block;25;017;3578.00;1018;1
Census Block;25;017;3578.00;1019;1
Census Block;25;017;3578.00;1020;1
Census Block;25;017;3578.00;1021;1
Census Block;25;017;3578.00;2000;1
Census Block;25;017;3578.00;2001;1
Census Block;25;017;3578.00;2002;1
Census Block;25;017;3578.00;2003;1
Census Block;25;017;3578.00;2004;1
Census Block;25;017;3578.00;2005;1
Census Block;25;017;3578.00;2006;1
Census Block;25;017;3578.00;2007;1
Census Block;25;017;3578.00;2008;1
Census Block;25;017;3578.00;2009;1
Census Block;25;017;3578.00;2010;1
Census Block;25;017;3578.00;2011;1
Census Block;25;017;3578.00;2012;1
Census Block;25;017;3578.00;2013;1
Census Block;25;017;3578.00;2014;1
Census Block;25;017;3578.00;2015;1
Census Block;25;017;3578.00;2016;1
Census Block;25;017;3578.00;2017;1
Census Block;25;017;3578.00;2018;1
Census Block;25;017;3578.00;3000;1
Census Block;25;017;3578.00;3001;1
Census Block;25;017;3578.00;3002;1
Census Block;25;017;3578.00;3003;1
Census Block;25;017;3578.00;3004;1
Census Block;25;017;3578.00;3005;1
Census Block;25;017;3578.00;3006;1
Census Block;25;017;3578.00;3007;1
Census Block;25;017;3578.00;3008;1
Census Block;25;017;3578.00;3009;1
Census Block;25;017;3578.00;3010;1
Census Block;25;017;3578.00;3011;1
Census Block;25;017;3578.00;3012;1
Census Block;25;017;3578.00;3013;1
Census Block;25;017;3578.00;3014;1
Census Block;25;017;3578.00;3015;1
Census Block;25;017;3578.00;3016;1
Census Block;25;017;3578.00;3017;1
Census Block;25;017;3578.00;3018;1
Census Block;25;017;3578.00;3019;1
Census Block;25;017;3578.00;3020;1
Census Block;25;017;3578.00;3021;1
Census Block;25;017;3578.00;3022;1
Census Block;25;017;3578.00;3023;1
Census Block;25;017;3578.00;3024;1
Census Block;25;017;3578.00;3025;1
Census Block;25;017;3578.00;3026;1
Census Block;25;017;3578.00;3027;1
Census Block;25;017;3578.00;3028;1
Census Block;25;017;3578.00;4000;1
Census Block;25;017;3578.00;4001;1
Census Block;25;017;3578.00;4002;1
Census Block;25;017;3578.00;4003;1
Census Block;25;017;3578.00;4004;1
Census Block;25;017;3578.00;4005;1
Census Block;25;017;3578.00;4006;1
Census Block;25;017;3578.00;4007;1
Census Block;25;017;3578.00;4008;1
Census Block;25;017;3578.00;4009;1
Census Block;25;017;3578.00;4010;1
Census Block;25;017;3578.00;4011;1
Census Block;25;017;3578.00;4012;1
